Dependency metrics,Mo, 30 Mai 2016 13:41:12 MESZ
Class,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"nappydevelopment.nappyTheIngenious.GlobalReferences",0,0,0,13,52
"nappydevelopment.nappyTheIngenious.Program",13,20,71,9,19
"nappydevelopment.nappyTheIngenious.ProgramTest",0,3,72,0,0
"nappydevelopment.nappyTheIngenious.data.Answer",0,2,6,20,43
"nappydevelopment.nappyTheIngenious.data.CharacterProvider",0,8,11,5,28
"nappydevelopment.nappyTheIngenious.data.CharacterProviderTest",0,5,12,0,0
"nappydevelopment.nappyTheIngenious.data.DatabaseProvider",0,0,0,11,53
"nappydevelopment.nappyTheIngenious.data.DatabaseProviderTest",0,1,1,0,0
"nappydevelopment.nappyTheIngenious.data.Game",0,3,12,2,21
"nappydevelopment.nappyTheIngenious.data.Player",0,0,0,4,23
"nappydevelopment.nappyTheIngenious.data.QuestAnsElement",0,1,7,8,32
"nappydevelopment.nappyTheIngenious.data.QuestAnsList",0,2,8,8,30
"nappydevelopment.nappyTheIngenious.data.QuestAnsListTest",0,3,9,0,0
"nappydevelopment.nappyTheIngenious.data.SaveStatisticInfos",0,4,14,1,20
"nappydevelopment.nappyTheIngenious.data.StatisticCharacter",0,0,0,3,22
"nappydevelopment.nappyTheIngenious.data.Sureness",0,0,0,8,28
"nappydevelopment.nappyTheIngenious.data.character.Age",0,0,0,8,41
"nappydevelopment.nappyTheIngenious.data.character.Character",0,3,3,20,39
"nappydevelopment.nappyTheIngenious.data.character.CharacterFilter",0,2,2,3,29
"nappydevelopment.nappyTheIngenious.data.character.CharacterImage",0,1,1,4,35
"nappydevelopment.nappyTheIngenious.data.character.CharacterImageTest",0,1,2,0,0
"nappydevelopment.nappyTheIngenious.data.character.Gender",0,0,0,8,41
"nappydevelopment.nappyTheIngenious.data.settings.ColorScheme",0,0,0,9,48
"nappydevelopment.nappyTheIngenious.data.settings.GameMode",0,0,0,4,48
"nappydevelopment.nappyTheIngenious.data.settings.Language",0,0,0,27,51
"nappydevelopment.nappyTheIngenious.data.settings.Settings",0,5,5,14,47
"nappydevelopment.nappyTheIngenious.data.settings.SettingsTest",0,3,6,0,0
"nappydevelopment.nappyTheIngenious.exception.CantFinishGameMode",0,0,0,7,29
"nappydevelopment.nappyTheIngenious.exception.CouldNotSaveToDatabase",0,0,0,4,49
"nappydevelopment.nappyTheIngenious.exception.ExceptionTest",0,6,6,0,0
"nappydevelopment.nappyTheIngenious.exception.GameHasFinished",0,0,0,15,35
"nappydevelopment.nappyTheIngenious.exception.InvalidQuestion",0,0,0,6,28
"nappydevelopment.nappyTheIngenious.exception.NoActiveQuestion",0,0,0,7,29
"nappydevelopment.nappyTheIngenious.exception.NoMoreQuestions",0,0,0,8,31
"nappydevelopment.nappyTheIngenious.gamemodes.Question",0,3,7,5,34
"nappydevelopment.nappyTheIngenious.gamemodes.QuestionProvider",0,3,8,2,32
"nappydevelopment.nappyTheIngenious.gamemodes.QuestionTest",0,3,8,0,0
"nappydevelopment.nappyTheIngenious.gamemodes.VersusTest",0,5,36,0,0
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GM1ActiveState",2,10,28,1,25
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GM1ActiveStateTest",0,6,29,0,0
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GM1FinishedState",0,5,16,1,26
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GM1RunningState",2,16,28,2,25
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GameMode1",2,10,28,6,25
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GameMode1Test",0,8,29,0,0
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2.GM2FinishedState",3,6,21,1,26
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2.GM2RunningState",3,16,21,1,26
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2.GameMode2",3,8,21,7,26
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2.GameMode2FinishedTest",0,6,23,0,0
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2.GameMode2Test",0,7,28,0,0
"nappydevelopment.nappyTheIngenious.gui.components.TitledBorderPane",0,0,0,4,22
"nappydevelopment.nappyTheIngenious.gui.components.VerticalProgressBar",0,0,0,2,21
"nappydevelopment.nappyTheIngenious.gui.helpStage.HelpStageController",0,6,10,1,20
"nappydevelopment.nappyTheIngenious.gui.helpStage.HelpStageController.ViewActionEventHandler",0,0,0,1,21
"nappydevelopment.nappyTheIngenious.gui.helpStage.HelpStageResources",0,1,1,2,22
"nappydevelopment.nappyTheIngenious.gui.helpStage.HelpStageView",0,1,2,1,21
"nappydevelopment.nappyTheIngenious.gui.infoStage.InfoStageController",13,7,71,3,19
"nappydevelopment.nappyTheIngenious.gui.infoStage.InfoStageController.ViewActionEventHandler",13,2,71,1,19
"nappydevelopment.nappyTheIngenious.gui.infoStage.InfoStageResources",0,1,1,2,21
"nappydevelopment.nappyTheIngenious.gui.infoStage.InfoStageTest",0,1,72,0,0
"nappydevelopment.nappyTheIngenious.gui.infoStage.InfoStageView",0,3,3,2,20
"nappydevelopment.nappyTheIngenious.gui.mainStage.MainStageController",13,15,71,4,19
"nappydevelopment.nappyTheIngenious.gui.mainStage.MainStageController.ViewActionEventHandler",13,5,71,1,19
"nappydevelopment.nappyTheIngenious.gui.mainStage.MainStageController.ViewWindowEventHandler",13,2,71,1,19
"nappydevelopment.nappyTheIngenious.gui.mainStage.MainStageMainscreenTest",0,4,72,0,0
"nappydevelopment.nappyTheIngenious.gui.mainStage.MainStageResources",0,1,1,2,21
"nappydevelopment.nappyTheIngenious.gui.mainStage.MainStageView",0,4,11,3,20
"nappydevelopment.nappyTheIngenious.gui.settingsStage.SettingsStageController",13,8,71,3,19
"nappydevelopment.nappyTheIngenious.gui.settingsStage.SettingsStageController.ViewActionEventHandler",13,2,71,1,19
"nappydevelopment.nappyTheIngenious.gui.settingsStage.SettingsStageResources",0,1,1,2,21
"nappydevelopment.nappyTheIngenious.gui.settingsStage.SettingsStageView",0,1,2,3,20
"nappydevelopment.nappyTheIngenious.gui.settingsStage.SettingsStageViewTest",0,6,72,0,0
"nappydevelopment.nappyTheIngenious.gui.statisticStage.StatisticStageController",13,11,71,2,19
"nappydevelopment.nappyTheIngenious.gui.statisticStage.StatisticStageController.ViewActionEventHandler",13,2,71,1,19
"nappydevelopment.nappyTheIngenious.gui.statisticStage.StatisticStageResources",0,1,1,2,21
"nappydevelopment.nappyTheIngenious.gui.statisticStage.StatisticStageView",0,2,3,2,20
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageController",13,17,71,6,19
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageController.ViewActionEventHandler",13,2,71,1,19
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageController.ViewKeyEventHandler",13,2,71,1,19
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageController.ViewMouseEventHandler",13,4,71,1,19
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageEasterEggTest",0,3,72,0,0
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageResources",0,1,1,3,21
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageTest",0,9,72,0,0
"nappydevelopment.nappyTheIngenious.gui.wikiStage.WikiStageView",0,7,13,5,20
"nappydevelopment.nappyTheIngenious.util.StatisticStuffGeneratorTest",0,4,4,0,0
"nappydevelopment.nappyTheIngenious.util.Utils",0,0,0,4,22
"nappydevelopment.nappyTheIngenious.util.eastereggs.EastereggSearcher",0,1,3,1,29
"nappydevelopment.nappyTheIngenious.util.eastereggs.NelsonFrame",0,2,2,1,30
"nappydevelopment.nappyTheIngenious.util.eastereggs.SoundPlayer",0,1,1,1,31
"nappydevelopment.nappyTheIngenious.util.statistics.StatisticStuffGenerator",0,3,3,2,21

Interface,Cyclic,Dcy,Dcy*,Dpt,Dpt*
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1.GM1State",0,7,15,4,27
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2.GM2State",3,6,21,3,26

Package,PDcy,PDpt
"nappydevelopment.nappyTheIngenious",12,8
"nappydevelopment.nappyTheIngenious.data",3,10
"nappydevelopment.nappyTheIngenious.data.character",2,6
"nappydevelopment.nappyTheIngenious.data.settings",2,12
"nappydevelopment.nappyTheIngenious.exception",0,4
"nappydevelopment.nappyTheIngenious.gamemodes",4,2
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode1",5,2
"nappydevelopment.nappyTheIngenious.gamemodes.gamemode2",5,2
"nappydevelopment.nappyTheIngenious.gui.components",0,3
"nappydevelopment.nappyTheIngenious.gui.helpStage",2,1
"nappydevelopment.nappyTheIngenious.gui.infoStage",3,1
"nappydevelopment.nappyTheIngenious.gui.mainStage",6,1
"nappydevelopment.nappyTheIngenious.gui.settingsStage",2,1
"nappydevelopment.nappyTheIngenious.gui.statisticStage",5,1
"nappydevelopment.nappyTheIngenious.gui.wikiStage",6,1
"nappydevelopment.nappyTheIngenious.util",2,3
"nappydevelopment.nappyTheIngenious.util.eastereggs",1,1
"nappydevelopment.nappyTheIngenious.util.statistics",1,2

